text,intent,priority,sentiment,needs_handoff
I can't log into my account,account_issue,medium,negative,no
"Hi, Why can't I access my telecom account",account_issue,low,negative,yes
"Please, My account is locked and I need help",account_issue,medium,neutral,no
I forgot my password and cannot sign in right now,account_issue,high,negative,yes
"Please, I can't log into my account",account_issue,low,negative,yes
"Please, My account access stopped working today right now",account_issue,high,negative,yes
"Hello, I can't log into my account right now",account_issue,high,negative,yes
"Can you help, I am unable to update my profile details as soon as possible",account_issue,high,neutral,no
"Hello, My account is locked and I need help urgently",account_issue,high,negative,yes
"Hello, I am unable to update my profile details",account_issue,medium,neutral,no
"Can you help, The app says my account credentials are invalid urgently",account_issue,high,negative,no
The app says my account credentials are invalid as soon as possible,account_issue,high,negative,yes
"Please, I am unable to update my profile details",account_issue,low,neutral,no
"Hi, Please help me reset my account login urgently",account_issue,high,neutral,no
"Can you help, Please help me reset my account login today",account_issue,high,negative,yes
"Hello, I am unable to update my profile details right now",account_issue,high,neutral,yes
"Hello, My account is locked and I need help",account_issue,medium,neutral,yes
"Hi, Why can't I access my telecom account today",account_issue,high,negative,no
"Hello, The app says my account credentials are invalid right now",account_issue,high,negative,yes
"Hello, I can't log into my account right now",account_issue,high,negative,yes
"Hello, My account access stopped working today as soon as possible",account_issue,high,neutral,no
"Hi, I cannot verify my account on the portal",account_issue,medium,negative,no
"Can you help, My account access stopped working today",account_issue,high,negative,yes
"Hello, Why can't I access my telecom account right now",account_issue,high,negative,yes
"Please, The app says my account credentials are invalid as soon as possible",account_issue,high,negative,yes
"Please, My account access stopped working today",account_issue,high,negative,no
"Hi, Why can't I access my telecom account",account_issue,medium,negative,no
My account is locked and I need help right now,account_issue,high,neutral,yes
"Can you help, I cannot verify my account on the portal urgently",account_issue,high,negative,no
"Can you help, I cannot verify my account on the portal today",account_issue,high,negative,yes
"Hello, The app says my account credentials are invalid urgently",account_issue,high,negative,yes
The app says my account credentials are invalid as soon as possible,account_issue,high,negative,yes
"Hello, My account is locked and I need help as soon as possible",account_issue,high,negative,yes
"Can you help, I can't log into my account",account_issue,medium,negative,no
"Please, Why can't I access my telecom account",account_issue,low,negative,yes
"Hello, The app says my account credentials are invalid",account_issue,low,negative,no
"Hello, Why can't I access my telecom account",account_issue,medium,negative,no
"Please, I am unable to update my profile details today",account_issue,high,neutral,no
"Hello, Please help me reset my account login right now",account_issue,high,neutral,no
"Please, My account is locked and I need help urgently",account_issue,high,negative,yes
"Please, Why can't I access my telecom account right now",account_issue,high,negative,yes
"Can you help, The app says my account credentials are invalid right now",account_issue,high,negative,no
"Please, I cannot verify my account on the portal today",account_issue,high,negative,yes
"Please, I forgot my password and cannot sign in",account_issue,medium,negative,no
"Hello, I need help recovering my online account",account_issue,medium,neutral,no
"Hi, My account is locked and I need help as soon as possible",account_issue,high,neutral,yes
"Please, I forgot my password and cannot sign in",account_issue,low,negative,no
I can't log into my account right now,account_issue,high,negative,yes
I am unable to update my profile details urgently,account_issue,high,neutral,yes
"Hi, Please help me reset my account login",account_issue,medium,neutral,yes
"Hi, I cannot verify my account on the portal",account_issue,medium,negative,no
"Can you help, My account access stopped working today right now",account_issue,high,neutral,no
"Can you help, I am unable to update my profile details today",account_issue,high,negative,no
My account is locked and I need help urgently,account_issue,high,negative,yes
"Hello, My account is locked and I need help right now",account_issue,high,neutral,no
"Please, I need help recovering my online account right now",account_issue,high,negative,yes
"Hello, I need help recovering my online account right now",account_issue,high,neutral,no
"Please, My account is locked and I need help urgently",account_issue,high,neutral,no
"Hi, Why can't I access my telecom account today",account_issue,high,negative,no
"Can you help, I forgot my password and cannot sign in today",account_issue,high,negative,yes
"Hi, My account access stopped working today urgently",account_issue,high,neutral,no
"Hello, I need help recovering my online account as soon as possible",account_issue,high,negative,yes
"Please, I need help recovering my online account right now",account_issue,high,neutral,no
"Hi, I can't log into my account",account_issue,medium,negative,yes
I am unable to update my profile details urgently,account_issue,high,neutral,no
"Please, I need help recovering my online account",account_issue,medium,neutral,no
"Please, My account is locked and I need help right now",account_issue,high,neutral,yes
I forgot my password and cannot sign in today,account_issue,high,negative,yes
"Please, I forgot my password and cannot sign in",account_issue,medium,negative,no
"Please, My account is locked and I need help today",account_issue,high,negative,no
"Hi, I am unable to update my profile details right now",account_issue,high,neutral,no
"Can you help, Why can't I access my telecom account",account_issue,medium,negative,no
"Can you help, I am unable to update my profile details urgently",account_issue,high,neutral,no
"Please, I cannot verify my account on the portal urgently",account_issue,high,negative,yes
"Please, I forgot my password and cannot sign in",account_issue,medium,negative,no
"Hello, My account is locked and I need help right now",account_issue,high,negative,no
"Hi, I need help recovering my online account",account_issue,medium,negative,yes
